,metric,reporter,count,sample
377,T,GFP_BAR_010,0,TK6_PolQ_4h_BR2
378,del,GFP_BAR_010,0,TK6_PolQ_4h_BR2
379,del_mh,GFP_BAR_010,0,TK6_PolQ_4h_BR2
380,del_nomh,GFP_BAR_010,0,TK6_PolQ_4h_BR2
381,ins,GFP_BAR_010,0,TK6_PolQ_4h_BR2
382,repaired,GFP_BAR_010,0,TK6_PolQ_4h_BR2
383,total,GFP_BAR_010,6620,TK6_PolQ_4h_BR2
384,unrepaired,GFP_BAR_010,0,TK6_PolQ_4h_BR2
385,A,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
386,C,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
387,G,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
388,T,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
389,del,GFP_BAR_DSBR_2,485,TK6_PolQ_4h_BR2
390,del_mh,GFP_BAR_DSBR_2,46,TK6_PolQ_4h_BR2
391,del_nomh,GFP_BAR_DSBR_2,439,TK6_PolQ_4h_BR2
392,ins,GFP_BAR_DSBR_2,30,TK6_PolQ_4h_BR2
393,repaired,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
394,total,GFP_BAR_DSBR_2,18565,TK6_PolQ_4h_BR2
395,unrepaired,GFP_BAR_DSBR_2,0,TK6_PolQ_4h_BR2
396,A,GFP_BAR_003,0,HAP1_WT_1h_BR2
397,C,GFP_BAR_003,1555,HAP1_WT_1h_BR2
398,G,GFP_BAR_003,271,HAP1_WT_1h_BR2
399,T,GFP_BAR_003,0,HAP1_WT_1h_BR2
400,del,GFP_BAR_003,0,HAP1_WT_1h_BR2
401,del_mh,GFP_BAR_003,0,HAP1_WT_1h_BR2
